Segment_number,Average Degree (Global),Global Efficiency,Average Shortest Path Length,Clustering Coefficient,Modularity
1,3.3684210526315788,0.4684436274509805,6.47953216374269,0.6350877192982456,0.4857928104945117
2,3.684210526315789,0.5071895424836602,4.309941520467836,0.4912280701754386,0.4168601209967172
3,6.2105263157894735,0.9041095890410958,11.397660818713453,0.8299081035923142,0.4204906610040328
4,2.526315789473684,0.4975206611570244,7.362573099415204,0.2491228070175438,0.4323769274230112
5,5.052631578947368,0.6132897603485842,3.7485380116959055,0.5393065998329156,0.3090402677694345
6,4.0,0.6277777777777774,8.56140350877193,0.4962406015037594,0.3413148975225494
7,4.421052631578948,0.5784313725490199,3.877192982456141,0.5293233082706766,0.3074134790203476
8,2.9473684210526314,0.5358730158730155,8.830409356725147,0.4508771929824561,0.463875177004518
9,4.2105263157894735,0.5522875816993467,4.017543859649122,0.6085213032581454,0.4451937787694005
10,3.684210526315789,0.5557598039215684,5.654970760233918,0.5665413533834586,0.3792646777609433
11,3.473684210526316,0.5239651416122002,4.099415204678363,0.4561403508771929,0.4378928187327496
12,3.263157894736842,0.4466153127917833,4.900584795321637,0.6403508771929824,0.5836154091551436
13,4.526315789473684,0.8360655737704918,12.725146198830409,0.4657894736842105,0.2339689856375891
Average,3.9514170040485825,0.5882560584981961,6.612685560053981,0.5352644431591799,0.40439230856084224
